id,conviction_type,core_referral,exp_release_date,onboard_date,general_risk,violent_risk,sexual_risk,needs_screen,onboard_year,qualifies_need,override,referral_decision,add_referral,start_date,completion_status,end_date
28737,SVC,Kyrios,01/05/2012,17/05/2009,6,1,62,1,NA,Yes,No,Allocated,Doro S,12/05/2010,Completed,25/02/2011
12500,IGV,Kyrios,01/10/2017,17/10/2015,58,42,28,0,NA,No,No,NA,NA,NA,NA,NA
39355,LGA,Kyrios,10/03/2009,26/03/2006,32,43,7,0,NA,No,No,NA,NA,NA,NA,NA
13292,LGA,Kyrios,23/04/2016,09/05/2014,36,46,19,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
7586,SVC,Kyrios,24/10/2008,09/11/2006,16,13,53,0,NA,No,No,NA,NA,NA,NA,NA
8407,SVA,Kyrios,06/06/2014,22/06/2011,42,32,49,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
36222,LGA,Kyrios,10/12/2007,25/12/2005,51,54,33,1,NA,Yes,No,Allocated,NA,13/02/2006,Completed,15/08/2006
40996,ATH,Kyrios,09/07/2019,24/07/2016,36,52,2,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
13226,IGV,Kyrios,17/07/2013,02/08/2011,49,42,9,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
12532,IGV,Kyrios,06/05/2016,22/05/2014,46,50,39,0,NA,No,No,NA,NA,NA,NA,NA
24943,LGA,Kyrios,17/06/2019,02/07/2017,30,37,6,0,NA,No,No,NA,NA,NA,NA,NA
11,LGA,Kyrios,01/02/2010,17/02/2008,48,37,27,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
3678,LGA,Kyrios,15/01/2011,31/01/2008,51,40,16,0,NA,No,No,NA,NA,NA,NA,NA
25923,IPV,Kyrios,22/02/2013,10/03/2011,33,22,5,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
20460,SVC,Kyrios,19/12/2014,04/01/2012,11,3,48,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
33299,LGA,Kyrios,07/11/2016,23/11/2014,34,43,26,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
13275,LGA,Kyrios,27/08/2016,12/09/2014,26,34,4,0,NA,No,No,NA,NA,NA,NA,NA
25499,IPV,Kyrios,16/04/2008,02/05/2005,51,34,1,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
38852,ATH,Kyrios,10/10/2010,25/10/2008,24,42,22,1,NA,Yes,No,Not allocated,NA,NA,NA,NA
28316,LGA,Kyrios,08/11/2013,24/11/2011,39,42,18,0,NA,No,No,NA,NA,NA,NA,NA
26091,SVA,Kyrios,12/02/2011,28/02/2008,11,3,40,0,NA,No,No,NA,NA,NA,NA,NA
40382,LGA,Kyrios,17/07/2016,02/08/2014,50,50,25,2,NA,Yes,No,Not allocated,NA,NA,NA,NA
